danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0.677,0.485,5,-5.795,1,0.0361,0.529,2.04E-05,0.0766,0.493,82.001,239317,4,10
0.688,0.841,2,-5.217,1,0.179,0.204,0.000295,0.229,0.743,133.912,192670,4,2
0.656,0.627,7,-6.627,0,0.0379,0.343,2.17E-05,0.124,0.481,99.933,167066,4,0
0.503,0.727,1,-5.456,1,0.167,0.0159,9.45E-05,0.0895,0.521,121.985,255632,4,6
0.671,0.786,8,-4.857,1,0.14,0.115,0,0.363,0.621,106.057,196817,4,2
0.546,0.529,11,-10.511,0,0.0583,0.0862,6.50E-06,0.124,0.247,107.331,237787,4,0
0.486,0.448,7,-9.133,1,0.0342,0.757,0,0.0852,0.17,152.864,296040,3,4
0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,304600,4,3
0.502,0.912,1,-4.556,1,0.0564,2.55E-05,0.000173,0.106,0.72,116.761,301920,4,6
0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,270373,4,3
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4,3
0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98E-06,0.197,0.915,138.858,258040,4,3
0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,365467,4,2
0.487,0.246,9,-14.104,0,0.0376,0.414,0,0.0983,0.0562,61.084,251107,4,9
0.774,0.641,1,-10.193,1,0.0799,0.0765,0,0.0867,0.875,113.256,214200,4,2
0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4,2
0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4,3
0.869,0.648,11,-8.698,0,0.0633,0.121,2.17E-05,0.126,0.9,125.035,339320,4,3
0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,4,2
0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56E-05,0.0761,0.823,88.825,273173,4,0
0.573,0.683,5,-6.644,1,0.176,0.461,0,0.0935,0.817,169.519,142787,4,2
0.701,0.576,9,-9.328,1,0.0298,0.195,0.000252,0.049,0.695,92.781,296400,4,10
0.822,0.478,1,-8.746,1,0.0343,0.559,0.0073,0.0813,0.722,117.394,251573,4,9
0.74,0.848,2,-6.437,1,0.144,0.0781,0,0.375,0.802,113.381,186093,4,2
0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,248907,4,6
0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293,4,2
0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,230640,4,3
0.741,0.808,11,-4.367,0,0.026,0.0914,0.0147,0.0488,0.908,107.234,223760,4,3
0.721,0.939,8,-11.823,1,0.0376,0.115,3.79E-05,0.108,0.914,113.309,213573,4,2
0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,241307,4,6
0.687,0.704,2,-7.923,1,0.0423,0.0745,0,0.0924,0.843,131.704,192867,4,2
0.544,0.897,3,-6.056,0,0.0471,0.241,0,0.13,0.647,157.17,215133,4,3
0.542,0.915,9,-9.637,1,0.0549,0.319,5.34E-05,0.171,0.92,159.81,175400,4,2
0.554,0.783,6,-5.852,1,0.0457,0.416,1.54E-06,0.631,0.813,105.39,162467,4,1
0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,195147,4,3
0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,226240,4,10
0.761,0.711,9,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448,310387,4,2
0.661,0.908,5,-4.897,1,0.039,0.052,0,0.0708,0.656,144.091,296080,4,6
0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16E-06,0.299,0.685,127.568,220627,4,2
0.544,0.738,6,-9.587,0,0.04,0.0201,0.00138,0.0497,0.375,117.826,236760,4,0
0.202,0.644,11,-5.212,1,0.0324,0.0979,0,0.109,0.252,85.04,267080,5,6
0.654,0.641,8,-9.771,1,0.0482,0.00535,0.00321,0.209,0.794,114.696,247600,4,2
0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,4,10
0.663,0.577,11,-7.518,0,0.0531,0.109,0,0.12,0.454,89.996,193200,4,0
0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103,186973,4,3
0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,233478,4,2
0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091,4,0
0.658,0.762,10,-3.028,0,0.0425,0.263,0,0.127,0.823,163.864,148448,4,3
0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,189109,4,3
0.691,0.828,1,-3.909,0,0.0749,0.113,0,0.358,0.678,75.519,229384,4,3
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,10
0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4,10
0.928,0.481,9,-9.35,0,0.287,0.105,0,0.176,0.613,134.007,210937,4,7
0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,238320,5,6
